transaction_id,user_id,timestamp,amount,merchant_id,merchant_category,device_id,latitude,longitude,location_name,payment_method,transaction_type,fraud_label,fraud_scenario
U033-20240101113016-30611,U033,2024-01-01 11:30:16,193.69,M20404,Shopping,D033_1,19.078383,72.961986,Mumbai,Credit Card,TRANSFER,0,normal
U093-20240101120330-97301,U093,2024-01-01 12:03:30,683.46,M19907,Entertainment,D093_1,19.070003,72.920698,Mumbai,Credit Card,PAYMENT,0,normal
U029-20240101120556-54264,U029,2024-01-01 12:05:56,793.28,M77153,Fuel,D029_2,26.72272,80.992553,Lucknow,Credit Card,TRANSFER,0,normal
U186-20240101144011-77784,U186,2024-01-01 14:40:11,657.54,M35865,Entertainment,D186_2,13.166143,80.420339,Chennai,UPI,TOPUP,0,normal
U079-20240101154702-49157,U079,2024-01-01 15:47:02,489.01,M77539,Healthcare,D079,26.827493,80.926404,Lucknow,Debit Card,REFUND,0,normal
U082-20240101171953-81531,U082,2024-01-01 17:19:53,158.14,M04135,Subscriptions,D082,12.915275,77.498197,Bengaluru,Debit Card,TOPUP,0,normal
U030-20240101172122-90349,U030,2024-01-01 17:21:22,585.56,M28363,Restaurants,D030_3,26.915742,75.920548,Jaipur,Wallet,REFUND,0,normal
U194-20240101191116-57728,U194,2024-01-01 19:11:16,1628.86,M58795,Entertainment,D194_1,28.710724,77.168743,Delhi,UPI,TOPUP,0,normal
U096-20240101203402-60233,U096,2024-01-01 20:34:02,331.85,M33451,Entertainment,D096,13.097736,80.247373,Chennai,Wallet,TRANSFER,0,normal
U177-20240101213834-79364,U177,2024-01-01 21:38:34,497.17,M61554,Electricity,D177,9.853159,76.302291,Kochi,Wallet,PAYMENT,0,normal
U022-20240102130730-62310,U022,2024-01-02 13:07:30,1947.17,M05493,Travel,D022,12.924411,77.624912,Bengaluru,Credit Card,PAYMENT,0,normal
U182-20240102145143-70680,U182,2024-01-02 14:51:43,2564.76,M06333,Restaurants,D182_2,12.940774,77.692515,Bengaluru,Debit Card,TOPUP,0,normal
U132-20240102162837-39913,U132,2024-01-02 16:28:37,489.86,M06298,Education,D132_3,13.02335,77.606415,Bengaluru,Debit Card,REFUND,0,normal
U155-20240102170814-53894,U155,2024-01-02 17:08:14,2975.6,M59329,Travel,D155,17.48188,78.451053,Hyderabad,Credit Card,TOPUP,1,HIGH_AMOUNT
U178-20240102181931-21309,U178,2024-01-02 18:19:31,4394.38,M24780,Healthcare,D178,18.558122,73.919919,Pune,Credit Card,TRANSFER,0,normal
U105-20240102191423-64416,U105,2024-01-02 19:14:23,496.63,M57872,Subscriptions,D105,17.304334,78.482862,Hyderabad,Credit Card,TOPUP,0,normal
U176-20240103115047-49130,U176,2024-01-03 11:50:47,11294.27,M34151,Healthcare,D176_1,13.157447,80.257631,Chennai,Credit Card,TOPUP,1,HIGH_AMOUNT
U115-20240103121858-76493,U115,2024-01-03 12:18:58,1083.55,M58703,Shopping,D115_1,17.294014,78.576253,Hyderabad,Wallet,TOPUP,0,normal
U018-20240103134350-34740,U018,2024-01-03 13:43:50,1288.19,M23230,Shopping,D018_3,18.510933,73.812047,Pune,UPI,PAYMENT,0,normal
U068-20240103160536-78485,U068,2024-01-03 16:05:36,747.21,M24150,Electricity,D068,18.477,73.937957,Pune,UPI,REFUND,0,normal
U070-20240103164139-39345,U070,2024-01-03 16:41:39,398.06,M26546,Restaurants,D070,26.894482,75.760162,Jaipur,UPI,PAYMENT,0,normal
U090-20240103204219-89050,U090,2024-01-03 20:42:19,2382.85,M28565,Bills,D090_2,26.981388,75.875098,Jaipur,Debit Card,TOPUP,0,normal
U161-20240103204808-91777,U161,2024-01-03 20:48:08,350.95,M77868,Fuel,D161_1,12.890164,74.896619,Mangalore,UPI,PAYMENT,1,HIGH_VELOCITY
U188-20240104115555-99057,U188,2024-01-04 11:55:55,38.17,M25451,Restaurants,D188,18.606908,73.938239,Pune,Credit Card,TOPUP,0,normal
U049-20240104133442-45275,U049,2024-01-04 13:34:42,3496.51,M77974,Subscriptions,D049,26.843763,80.953638,Lucknow,UPI,TRANSFER,0,normal
U152-20240104153022-94069,U152,2024-01-04 15:30:22,1677.91,M04199,Subscriptions,D152_1,12.924926,77.494968,Bengaluru,Wallet,TOPUP,0,normal
U125-20240104165147-81630,U125,2024-01-04 16:51:47,4022.77,M57972,Electricity,D125_1,17.280216,78.516956,Hyderabad,Credit Card,TOPUP,0,normal
U067-20240104181245-28043,U067,2024-01-04 18:12:45,2252.52,M63761,Electricity,D067_1,9.928805,76.447281,Kochi,Wallet,TOPUP,0,normal
U099-20240105111614-15229,U099,2024-01-05 11:16:14,934.85,M77284,Education,D099_2,26.902326,80.826092,Lucknow,Credit Card,TOPUP,0,normal
U041-20240105131213-27830,U041,2024-01-05 13:12:13,237.99,M77033,Bills,D041_2,12.868095,74.83518,Mangalore,Credit Card,REFUND,0,normal
U197-20240105152532-77370,U197,2024-01-05 15:25:32,2124.21,M59504,Taxi,D197,9.854018,76.096348,Kochi,Wallet,PAYMENT,0,normal
U083-20240105161420-23043,U083,2024-01-05 16:14:20,905.12,M18700,Subscriptions,D083_1,19.066241,72.803787,Mumbai,UPI,TOPUP,0,normal
U096-20240105183021-38163,U096,2024-01-05 18:30:21,563.62,M32991,Shopping,D096_3,13.034166,80.264969,Chennai,Credit Card,PAYMENT,0,normal
U066-20240105193018-65404,U066,2024-01-05 19:30:18,1492.76,M34221,Electricity,D066_2,13.155335,80.266795,Chennai,Debit Card,PAYMENT,0,normal
U180-20240105193906-52279,U180,2024-01-05 19:39:06,226.19,M24837,Electricity,D180_1,26.961967,75.521735,Jaipur,UPI,TOPUP,0,normal
U194-20240105202149-10314,U194,2024-01-05 20:21:49,594.0,M59593,Education,D194,28.769232,77.190046,Delhi,UPI,TOPUP,0,normal
U177-20240105225715-16079,U177,2024-01-05 22:57:15,274.49,M60801,Travel,D177_3,9.834448,76.245619,Kochi,Debit Card,PAYMENT,0,normal
U092-20240106092514-10089,U092,2024-01-06 09:25:14,514.96,M04663,Restaurants,D092,13.002888,77.463408,Bengaluru,Debit Card,TOPUP,0,normal
U001-20240106145600-37775,U001,2024-01-06 14:56:00,643.62,M77686,Shopping,D001,12.860377,74.908179,Mangalore,UPI,TOPUP,0,normal
